ANO_EMISSAO;MES_MISSAO;UF;MUNICIPIO;STATUS_REGISTRO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;SEXO;IDADE;TOTAL
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;20                                                ;F;63;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;20                                                ;F;71;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;20                                                ;M;37;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;20                                                ;M;43;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;20                                                ;M;44;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;20                                                ;M;45;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;20                                                ;M;50;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;20                                                ;M;53;2
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;20                                                ;M;62;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;28                                                ;M;38;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;28                                                ;M;40;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;28                                                ;M;43;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;28                                                ;M;71;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;28                                                ;M;72;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;28                                                ;M;82;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;36                                                ;M;61;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;M;79;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;16                                                ;M;58;1
2013;01;AM;Manaus                                            ;Vencido     ;
